,Year,PCIMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,10.61,11.68,11.07,-1.07,-0.46,0.49,357.0,36.0
1,2001,6.04,5.13,4.42,0.92,1.62,0.5,257.0,3.0
2,2002,6.46,9.6,7.66,-3.14,-1.19,0.49,94.0,80.0
3,2003,3.17,5.31,3.27,-2.14,-0.1,0.47,101.0,52.0
4,2004,2.81,4.48,2.57,-1.67,0.24,0.47,137.0,39.0
5,2005,2.12,3.51,1.89,-1.39,0.23,0.47,59.0,24.0
6,2006,4.67,4.84,3.71,-0.17,0.96,0.46,142.0,10.0
7,2007,0.63,3.36,2.5,-2.73,-1.87,0.45,59.0,85.0
8,2008,-7.77,-2.47,-3.59,-5.3,-4.19,0.45,37.0,70.0
9,2009,14.05,12.91,10.27,1.14,3.79,0.45,72.0,20.0
10,2010,5.08,2.38,2.34,2.7,2.75,0.45,47.0,1.0
11,2011,5.98,10.7,8.67,-4.72,-2.68,0.44,22.0,88.0
12,2012,6.13,6.78,5.51,-0.65,0.62,0.44,32.0,26.0
13,2013,-1.22,-2.55,-1.44,1.34,0.22,0.44,21.0,39.0
14,YTD,4.98,8.5,6.11,-3.52,-1.13,0.44,62.0,80.0
