,Year,OAEIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,5.83,21.04,6.72,-15.21,-0.89,1.59,79.0,82.0
1,2000,14.97,-9.1,7.87,24.07,7.1,1.73,77.0,29.0
2,2001,-1.2,-11.89,-4.99,10.69,3.79,1.67,80.0,39.0
3,2002,-14.71,-22.1,-18.69,7.39,3.98,1.71,75.0,42.0
4,2003,28.62,28.68,28.44,-0.06,0.19,1.56,1.56,81.0
5,2004,16.67,10.88,12.97,5.79,3.71,1.4,1.4,42.0
6,2005,9.25,4.91,5.95,4.34,3.3,1.34,89.0,51.0
7,2006,13.56,15.79,18.15,-2.24,-4.59,1.28,56.0,46.0
8,2007,2.55,5.49,1.42,-2.95,1.12,1.28,124.0,45.0
9,2008,-35.56,-37.0,-37.09,1.44,1.53,1.25,78.0,37.0
10,2009,42.21,26.46,24.13,15.75,18.08,1.36,105.0,5.0
11,2010,20.86,15.06,13.66,5.8,7.2,1.21,60.0,2.0
12,2011,-6.43,2.11,-0.75,-8.54,-5.68,1.09,37.0,87.0
13,2012,19.14,16.0,14.57,3.14,4.58,1.06,30.0,7.0
14,2013,31.63,32.39,31.21,-0.76,0.41,1.01,31.0,45.0
15,YTD,10.59,13.98,10.25,-3.38,0.34,0.34,0.34,49.0
