,Year,QVSCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.4,21.04,8.5,-22.44,-9.9,1.96,87.0,89.0
1,2000,16.44,-9.1,18.45,25.55,-2.01,1.9,166.0,33.0
2,2001,12.2,-11.89,6.67,24.08,5.53,1.86,162.0,31.0
3,2002,-10.52,-22.1,-13.25,11.58,2.73,1.66,151.0,19.0
4,2003,46.06,28.68,33.85,17.37,12.21,1.56,1.56,32.0
5,2004,28.3,10.88,17.85,17.41,10.45,1.35,1.35,3.0
6,2005,11.73,4.91,8.82,6.82,2.91,1.23,121.0,14.0
7,2006,17.98,15.79,15.87,2.19,2.11,1.14,136.0,17.0
8,2007,9.13,5.49,0.83,3.64,8.3,1.08,115.0,22.0
9,2008,-49.93,-37.0,-36.77,-12.93,-13.16,1.16,94.0,90.0
10,2009,44.61,26.46,35.41,18.15,9.2,1.32,99.0,21.0
11,2010,20.54,15.06,21.92,5.48,-1.38,1.28,71.0,70.0
12,2011,-7.52,2.11,-3.96,-9.63,-3.57,1.25,89.0,81.0
13,2012,9.48,16.0,16.6,-6.52,-7.12,1.26,54.0,96.0
14,2013,37.77,32.39,35.14,5.38,2.62,1.27,128.0,24.0
15,YTD,8.47,13.98,8.68,-5.51,-0.21,-0.21,-0.21,58.0
