,Year,CWBFX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.12,-0.82,-2.86,-2.3,-0.26,-0.26,129.0,41.0
1,2000,1.46,11.63,3.21,-10.16,-1.75,1.12,52.0,61.0
2,2001,1.53,8.44,1.95,-6.92,-0.43,1.12,61.0,46.0
3,2002,16.45,10.26,14.1,6.2,2.35,1.08,48.0,37.0
4,2003,18.86,4.1,13.79,14.75,5.06,1.04,83.0,22.0
5,2004,11.38,4.34,8.98,7.04,2.41,1.02,1.02,20.0
6,2005,-2.86,2.43,-3.33,-5.29,0.46,0.93,72.0,37.0
7,2006,7.6,4.33,5.42,3.27,2.18,0.91,91.0,18.0
8,2007,8.56,6.97,7.28,1.6,1.28,0.93,76.0,43.0
9,2008,-0.58,5.24,-1.57,-5.82,0.99,0.86,87.0,45.0
10,2009,10.64,5.93,13.12,4.71,-2.48,0.86,106.0,58.0
11,2010,5.97,6.54,6.35,-0.57,-0.38,0.88,80.0,48.0
12,2011,3.8,7.84,3.39,-4.04,0.41,0.87,95.0,44.0
13,2012,7.43,4.21,8.09,3.21,-0.66,0.89,142.0,47.0
14,2013,-2.91,-2.02,-2.62,-0.89,-0.3,0.91,199.0,49.0
15,YTD,2.72,5.87,2.75,-3.14,-0.02,0.9,205.0,44.0
