,Year,MABAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,11.06,21.04,6.72,-9.98,4.34,4.34,16.0,27.0
1,2000,3.17,-9.1,7.87,12.28,-4.69,0.56,28.0,68.0
2,2001,-0.51,-11.89,-4.99,11.37,4.48,0.56,38.0,23.0
3,2002,-16.79,-22.1,-18.69,5.31,1.9,0.81,38.0,34.0
4,2003,32.7,28.68,28.44,4.01,4.26,0.6,32.0,16.0
5,2004,10.48,10.88,12.97,-0.4,-2.49,0.56,0.56,75.0
6,2005,3.87,4.91,5.95,-1.05,-2.09,0.57,45.0,73.0
7,2006,22.65,15.79,18.15,6.86,4.5,0.57,41.0,5.0
8,2007,1.28,5.49,1.42,-4.21,-0.14,0.54,31.0,55.0
9,2008,-36.45,-37.0,-37.09,0.54,0.64,0.53,0.53,49.0
10,2009,30.85,26.46,24.13,4.39,6.72,0.58,38.0,14.0
11,2010,12.99,15.06,13.66,-2.08,-0.67,0.55,48.0,56.0
12,2011,-2.69,2.11,-0.75,-4.8,-1.94,0.55,64.0,65.0
13,2012,14.1,16.0,14.57,-1.9,-0.47,0.56,38.0,59.0
14,2013,38.32,32.39,31.21,5.93,7.1,0.55,53.0,6.0
15,YTD,9.08,13.98,10.25,-4.89,-1.17,0.54,47.0,72.0
