,Year,OTABX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.34,-0.82,1.49,0.49,-1.82,-1.82,77.0,88.0
1,2000,10.05,11.63,8.3,-1.58,1.75,0.63,30.0,10.0
2,2001,7.29,8.44,7.26,-1.15,0.03,0.65,48.0,42.0
3,2002,8.96,10.26,6.85,-1.3,2.1,0.65,41.0,7.0
4,2003,2.13,4.1,1.45,-1.98,0.67,0.65,33.0,16.0
5,2004,1.15,4.34,1.46,-3.19,-0.31,0.65,0.65,57.0
6,2005,1.39,2.43,1.26,-1.04,0.13,0.67,22.0,41.0
7,2006,3.59,4.33,3.67,-0.75,-0.09,0.7,20.0,58.0
8,2007,6.38,6.97,5.87,-0.59,0.51,0.7,10.0,35.0
9,2008,6.12,5.24,4.8,0.88,1.32,0.69,83.0,38.0
10,2009,1.71,5.93,3.29,-4.22,-1.58,0.7,154.0,69.0
11,2010,2.19,6.54,3.04,-4.35,-0.86,0.69,51.0,65.0
12,2011,1.87,7.84,2.09,-5.98,-0.22,0.7,26.0,46.0
13,2012,0.19,4.21,1.06,-4.03,-0.87,0.7,35.0,79.0
14,2013,-0.65,-2.02,-0.79,1.37,0.14,0.69,19.0,52.0
15,YTD,0.69,5.87,1.2,-5.18,-0.51,0.7,15.0,65.0
