,Year,FPHAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,,,,,,,38.0,38.0
1,2002,-23.37,-19.89,-28.13,-3.48,4.77,1.74,26.0,40.0
2,2003,20.33,33.11,32.51,-12.78,-12.18,1.74,140.0,87.0
3,2004,3.31,14.72,9.84,-11.41,-6.53,1.57,1.57,92.0
4,2005,9.79,9.49,9.64,0.3,0.15,1.19,42.0,45.0
5,2006,12.49,20.07,4.27,-7.57,8.22,1.03,207.0,7.0
6,2007,13.4,9.04,9.27,4.36,4.13,1.01,204.0,26.0
7,2008,-22.71,-40.71,-23.43,18.0,0.72,0.95,119.0,33.0
8,2009,25.41,29.99,22.48,-4.57,2.94,0.99,240.0,32.0
9,2010,16.36,11.76,8.38,4.6,7.99,1.0,221.0,10.0
10,2011,13.7,-5.54,7.66,19.24,6.04,0.94,102.0,8.0
11,2012,14.25,15.83,21.55,-1.57,-7.29,0.88,73.0,88.0
12,2013,41.36,26.68,48.17,14.69,-6.81,0.84,54.0,83.0
13,YTD,26.31,6.66,26.63,19.65,-0.33,0.81,95.0,57.0
