,Year,CLSPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,36.33,21.04,60.49,15.28,-24.16,-24.16,135.0,72.0
1,2000,13.84,-9.1,-4.78,22.94,18.61,0.99,169.0,15.0
2,2001,-20.98,-11.89,-19.98,-9.09,-1.0,1.08,186.0,52.0
3,2002,-24.54,-22.1,-27.24,-2.44,2.7,1.12,88.0,36.0
4,2003,30.43,28.68,35.96,1.74,-5.53,1.04,78.0,77.0
5,2004,7.31,10.88,13.23,-3.57,-5.92,1.07,1.07,88.0
6,2005,16.36,4.91,9.84,11.45,6.52,0.98,104.0,9.0
7,2006,11.93,15.79,9.0,-3.87,2.93,0.95,67.0,28.0
8,2007,20.06,5.49,15.09,14.57,4.97,0.92,171.0,28.0
9,2008,-43.98,-37.0,-43.77,-6.98,-0.2,0.93,149.0,48.0
10,2009,43.9,26.46,39.11,17.43,4.79,1.01,160.0,35.0
11,2010,29.84,15.06,24.61,14.78,5.22,0.98,137.0,15.0
12,2011,-4.41,2.11,-3.96,-6.52,-0.45,0.95,138.0,54.0
13,2012,11.03,16.0,14.07,-4.98,-3.04,0.97,141.0,77.0
14,2013,31.2,32.39,34.93,-1.19,-3.73,0.96,109.0,75.0
15,YTD,7.96,13.98,6.96,-6.02,1.0,0.94,100.0,41.0
