,Year,VPACX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,57.05,30.63,95.04,26.42,-37.99,-37.99,6.0,91.0
1,2000,-25.74,-15.31,-34.33,-10.42,8.59,0.38,6.0,12.0
2,2001,-26.34,-19.73,-17.22,-6.6,-9.11,0.37,2.0,22.0
3,2002,-9.32,-14.95,-12.31,5.63,3.0,0.4,20.0,32.0
4,2003,38.42,40.83,36.79,-2.41,1.63,0.39,0.39,49.0
5,2004,18.83,20.91,16.79,-2.07,2.04,0.34,0.34,18.0
6,2005,22.59,16.62,27.13,5.97,-4.54,0.32,7.0,83.0
7,2006,11.99,26.65,20.7,-14.66,-8.72,0.27,2.0,10.0
8,2007,4.78,16.65,18.15,-11.87,-13.37,0.22,3.0,5.0
9,2008,-34.36,-45.53,-42.21,11.16,7.85,0.22,9.0,49.0
10,2009,21.18,41.45,34.7,-20.27,-13.52,0.27,8.0,84.0
11,2010,15.77,11.15,16.57,4.61,-0.81,0.26,3.0,50.0
12,2011,-14.0,-13.71,-17.97,-0.3,3.97,0.26,4.0,23.0
13,2012,15.49,16.83,20.4,-1.34,-4.91,0.26,4.0,83.0
14,2013,17.36,15.29,13.85,2.07,3.51,0.26,22.0,33.0
15,YTD,-2.2,-0.27,2.44,-1.93,-4.64,-4.64,-4.64,100.0
