,Year,VFITX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.52,-0.82,-1.35,-2.7,-2.17,-2.17,63.0,87.0
1,2000,14.03,11.63,10.86,2.41,3.17,0.27,66.0,1.0
2,2001,7.55,8.44,6.81,-0.9,0.74,0.28,56.0,19.0
3,2002,14.15,10.26,9.23,3.89,4.92,0.29,33.0,2.0
4,2003,2.37,4.1,1.9,-1.74,0.47,0.28,110.0,21.0
5,2004,3.4,4.34,3.01,-0.94,0.39,0.26,0.26,34.0
6,2005,2.31,2.43,1.91,-0.11,0.41,0.24,61.0,29.0
7,2006,3.14,4.33,3.47,-1.2,-0.33,0.26,66.0,63.0
8,2007,9.98,6.97,6.09,3.01,3.89,0.26,87.0,2.0
9,2008,13.32,5.24,4.76,8.08,8.56,0.26,52.0,4.0
10,2009,-1.69,5.93,4.74,-7.62,-6.44,0.25,88.0,92.0
11,2010,7.35,6.54,5.66,0.81,1.69,0.25,109.0,13.0
12,2011,9.79,7.84,6.7,1.95,3.09,0.22,80.0,3.0
13,2012,2.67,4.21,2.8,-1.54,-0.12,0.2,273.0,44.0
14,2013,-3.09,-2.02,-2.72,-1.06,-0.37,0.2,117.0,64.0
15,YTD,4.69,5.87,4.77,-1.18,-0.09,0.2,42.0,54.0
