,Year,OPIGX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.65,-0.82,-1.35,-0.83,-0.3,1.24,238.0,58.0
1,2000,5.8,11.63,9.44,-5.83,-3.64,1.31,255.0,93.0
2,2001,7.08,8.44,7.64,-1.37,-0.57,-0.57,162.0,68.0
3,2002,10.04,10.26,8.04,-0.21,2.0,1.1,151.0,13.0
4,2003,5.85,4.1,5.1,1.75,0.75,1.1,1.1,26.0
5,2004,4.9,4.34,3.91,0.56,0.99,0.93,0.93,16.0
6,2005,2.35,2.43,1.8,-0.08,0.55,0.9,98.0,21.0
7,2006,4.84,4.33,4.15,0.5,0.69,0.9,107.0,17.0
8,2007,4.49,6.97,4.7,-2.47,-0.21,0.87,89.0,67.0
9,2008,-35.83,5.24,-4.7,-41.07,-31.13,0.9,52.0,99.0
10,2009,7.29,5.93,13.97,1.36,-6.69,0.82,115.0,82.0
11,2010,10.95,6.54,7.72,4.41,3.24,0.88,98.0,7.0
12,2011,7.44,7.84,5.86,-0.4,1.58,0.9,94.0,16.0
13,2012,9.72,4.21,7.01,5.5,2.71,0.9,141.0,16.0
14,2013,-0.35,-2.02,-1.42,1.67,1.08,0.9,113.0,18.0
15,YTD,6.69,5.87,5.34,0.82,1.35,1.35,1.35,12.0
