,Year,VHGEX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.95,30.63,41.13,-4.68,-15.17,-15.17,36.0,67.0
1,2000,-0.17,-15.31,-9.14,15.15,8.97,0.7,31.0,21.0
2,2001,-3.73,-19.73,-17.51,16.01,13.79,1.08,27.0,9.0
3,2002,-5.61,-14.95,-19.36,9.34,13.75,1.11,14.0,3.0
4,2003,44.51,40.83,34.49,3.68,10.02,1.05,1.05,11.0
5,2004,20.09,20.91,15.27,-0.82,4.82,0.9,0.9,12.0
6,2005,11.77,16.62,11.61,-4.85,0.16,0.8,83.0,49.0
7,2006,23.59,26.65,19.72,-3.06,3.88,0.72,88.0,16.0
8,2007,11.67,16.65,11.28,-4.98,0.4,0.64,64.0,43.0
9,2008,-46.66,-45.53,-41.91,-1.14,-4.76,0.51,73.0,79.0
10,2009,32.98,41.45,35.27,-8.47,-2.29,0.47,71.0,47.0
11,2010,16.04,11.15,13.74,4.88,2.3,0.44,64.0,27.0
12,2011,-8.9,-13.71,-7.93,4.81,-0.97,0.54,44.0,56.0
13,2012,19.52,16.83,15.84,2.69,3.68,0.57,67.0,23.0
14,2013,27.65,15.29,25.19,12.36,2.46,0.61,70.0,36.0
15,YTD,5.97,-0.27,4.54,6.24,1.43,0.61,45.0,33.0
