,Year,ASVAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2002,-14.32,-22.1,-10.12,7.78,-4.19,1.59,12.0,37.0
1,2003,39.35,28.68,42.38,10.66,-3.03,1.6,50.0,60.0
2,2004,20.36,10.88,21.14,9.48,-0.78,1.51,1.51,38.0
3,2005,5.02,4.91,6.4,0.11,-1.38,1.51,70.0,66.0
4,2006,16.84,15.79,16.27,1.05,0.57,1.49,77.0,28.0
5,2007,-6.2,5.49,-6.08,-11.69,-0.12,1.42,58.0,49.0
6,2008,-34.32,-37.0,-32.24,2.68,-2.09,1.37,45.0,73.0
7,2009,47.74,26.46,31.32,21.28,16.42,1.35,120.0,12.0
8,2010,26.42,15.06,26.17,11.36,0.25,1.52,80.0,40.0
9,2011,-8.12,2.11,-4.45,-10.23,-3.66,1.53,54.0,84.0
10,2012,16.67,16.0,16.0,0.66,0.66,1.5,66.0,42.0
11,2013,35.89,32.39,36.22,3.5,-0.33,1.42,68.0,52.0
12,YTD,1.59,13.98,1.3,-12.38,0.29,1.4,74.0,52.0
