,Year,FBDIX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,97.91,24.93,18.58,72.98,79.33,79.33,98.0,3.0
1,2000,46.58,-13.18,56.75,59.76,-10.16,1.13,41.0,56.0
2,2001,-20.48,-16.82,-11.26,-3.66,-9.22,1.09,47.0,80.0
3,2002,-42.48,-19.89,-28.13,-22.59,-14.35,1.29,54.0,91.0
4,2003,43.55,33.11,32.51,10.44,11.04,1.57,47.0,16.0
5,2004,11.95,14.72,9.84,-2.77,2.11,1.28,1.28,28.0
6,2005,5.55,9.49,9.64,-3.93,-4.09,1.29,34.0,88.0
7,2006,5.03,20.07,4.27,-15.03,0.76,1.25,37.0,42.0
8,2007,-1.6,9.04,9.27,-10.63,-10.86,1.35,42.0,97.0
9,2008,-10.64,-40.71,-23.43,30.07,12.79,1.23,31.0,6.0
10,2009,11.83,29.99,22.48,-18.15,-10.64,1.32,46.0,86.0
11,2010,17.28,11.76,8.38,5.52,8.9,1.32,42.0,6.0
12,2011,8.35,-5.54,7.66,13.89,0.69,1.31,235.0,38.0
13,2012,29.35,15.83,21.55,13.52,7.8,1.26,47.0,16.0
14,2013,68.64,26.68,48.17,41.97,20.47,1.2,34.0,1.0
15,YTD,31.77,6.66,26.63,25.11,5.13,1.1,49.0,17.0
