,Year,FNMIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,36.69,-0.82,29.58,37.51,7.11,1.07,273.0,10.0
1,2000,14.38,11.63,12.68,2.76,1.7,0.99,278.0,27.0
2,2001,6.64,8.44,12.83,-1.8,-6.19,0.99,335.0,59.0
3,2002,12.74,10.26,12.69,2.49,0.05,1.0,219.0,36.0
4,2003,30.97,4.1,30.83,26.87,0.15,0.97,0.97,38.0
5,2004,12.5,4.34,12.31,8.16,0.19,0.94,0.94,50.0
6,2005,11.09,2.43,11.5,8.66,-0.4,0.94,196.0,58.0
7,2006,11.91,4.33,10.99,7.58,0.93,0.9,103.0,24.0
8,2007,5.68,6.97,5.36,-1.29,0.32,0.88,65.0,32.0
9,2008,-18.24,5.24,-17.64,-23.48,-0.6,0.9,59.0,58.0
10,2009,44.56,5.93,32.43,38.63,12.13,0.9,126.0,9.0
11,2010,10.94,6.54,12.34,4.39,-1.4,0.88,98.0,74.0
12,2011,7.95,7.84,1.98,0.11,5.97,0.86,132.0,1.0
13,2012,20.0,4.21,17.95,15.79,2.06,0.84,88.0,20.0
14,2013,-6.41,-2.02,-7.27,-4.39,0.86,0.84,131.0,33.0
15,YTD,8.12,5.87,3.43,2.26,4.69,4.69,4.69,8.0
