,Year,VEIEX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,61.57,30.63,70.56,30.94,-8.99,-8.99,22.0,71.0
1,2000,-27.56,-15.31,-30.33,-12.24,2.78,0.59,40.0,27.0
2,2001,-2.88,-19.73,-3.83,16.86,0.95,0.57,23.0,41.0
3,2002,-7.43,-14.95,-6.05,7.52,-1.38,0.57,65.0,62.0
4,2003,57.65,40.83,55.19,16.82,2.46,0.53,0.53,30.0
5,2004,26.12,20.91,23.54,5.21,2.58,0.48,0.48,29.0
6,2005,32.05,16.62,31.54,15.43,0.51,0.45,15.0,52.0
7,2006,29.39,26.65,32.06,2.74,-2.66,0.42,26.0,72.0
8,2007,38.9,16.65,36.68,22.25,2.22,0.37,9.0,37.0
9,2008,-52.81,-45.53,-54.44,-7.29,1.63,0.32,20.0,38.0
10,2009,75.98,41.45,73.81,34.53,2.16,0.4,12.0,36.0
11,2010,18.86,11.15,19.26,7.71,-0.4,0.35,12.0,44.0
12,2011,-18.78,-13.71,-19.86,-5.07,1.08,0.33,10.0,41.0
13,2012,18.64,16.83,18.15,1.81,0.49,0.33,8.0,52.0
14,2013,-5.19,15.29,-0.14,-20.48,-5.05,0.33,26.0,79.0
15,YTD,5.68,-0.27,1.96,5.95,3.71,3.71,3.71,14.0
