,Year,VDIGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.96,21.04,20.16,-24.0,-23.11,-23.11,55.0,55.0
1,2000,18.77,-9.1,-6.31,27.88,25.08,0.38,47.0,47.0
2,2001,-19.45,-11.89,-13.5,-7.56,-5.95,0.35,48.0,48.0
3,2002,-23.16,-22.1,-22.25,-1.06,-0.91,0.37,27.0,27.0
4,2003,29.2,28.68,27.05,0.51,2.15,0.34,104.0,104.0
5,2004,11.02,10.88,10.02,0.14,1.0,0.4,0.4,70.0
6,2005,4.23,4.91,5.88,-0.68,-1.64,0.36,20.0,68.0
7,2006,19.58,15.79,14.17,3.78,5.41,0.37,16.0,31.0
8,2007,7.0,5.49,6.16,1.51,0.84,0.38,41.0,14.0
9,2008,-25.57,-37.0,-37.79,11.43,12.22,0.32,36.0,3.0
10,2009,21.74,26.46,28.17,-4.72,-6.43,0.36,28.0,83.0
11,2010,11.42,15.06,14.01,-3.64,-2.58,0.38,24.0,81.0
12,2011,9.43,2.11,-1.27,7.31,10.7,0.34,17.0,1.0
13,2012,10.39,16.0,14.96,-5.62,-4.58,0.31,13.0,91.0
14,2013,31.53,32.39,31.5,-0.86,0.03,0.29,11.0,55.0
15,YTD,12.03,13.98,11.28,-1.95,0.75,0.31,18.0,48.0
