,Year,FICDX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,40.56,30.63,30.63,9.93,9.93,1.06,286.0,37.0
1,2000,12.28,-15.31,-15.31,27.59,27.59,1.06,97.0,1.0
2,2001,-9.61,-19.73,-19.73,10.13,10.13,1.2,93.0,2.0
3,2002,-4.27,-14.95,-14.95,10.68,10.68,1.46,103.0,1.0
4,2003,51.91,40.83,40.83,11.08,11.08,1.37,1.37,1.0
5,2004,23.92,20.91,20.91,3.01,3.01,1.15,1.15,3.0
6,2005,27.89,16.62,16.62,11.27,11.27,1.04,24.0,2.0
7,2006,15.04,26.65,26.65,-11.61,-11.61,0.97,50.0,100.0
8,2007,35.02,16.65,16.65,18.36,18.36,0.94,42.0,1.0
9,2008,-42.64,-45.53,-45.53,2.89,2.89,1.0,63.0,35.0
10,2009,39.63,41.45,41.45,-1.82,-1.82,1.13,123.0,12.0
11,2010,21.84,11.15,11.15,10.69,10.69,0.89,143.0,1.0
12,2011,-12.44,-13.71,-13.71,1.26,1.26,0.82,104.0,54.0
13,2012,8.25,16.83,16.83,-8.58,-8.58,0.77,86.0,97.0
14,2013,10.04,15.29,13.4,-5.24,-3.36,0.86,64.0,54.0
15,YTD,5.61,-0.27,-4.41,5.88,10.02,10.02,10.02,6.0
