,Year,FCLAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,12.79,24.93,9.69,-12.14,3.1,3.1,3.1,42.0
1,2000,7.03,-13.18,8.96,20.21,-1.93,1.49,111.0,42.0
2,2001,3.4,-16.82,0.46,20.22,2.94,1.5,78.0,17.0
3,2002,-18.92,-19.89,-17.88,0.97,-1.04,1.49,31.0,46.0
4,2003,38.64,33.11,33.45,5.53,5.19,1.46,149.0,16.0
5,2004,23.4,14.72,21.3,8.68,2.1,1.47,1.47,23.0
6,2005,11.94,9.49,9.97,2.45,1.97,1.29,116.0,25.0
7,2006,14.86,20.07,12.89,-5.21,1.97,1.24,94.0,25.0
8,2007,17.53,9.04,8.77,8.49,8.76,1.21,130.0,30.0
9,2008,-40.21,-40.71,-37.69,0.51,-2.52,1.16,91.0,59.0
10,2009,39.66,29.99,26.94,9.67,12.72,1.23,135.0,4.0
11,2010,30.58,11.76,29.99,18.82,0.59,1.17,110.0,54.0
12,2011,-5.12,-5.54,-8.29,0.42,3.17,1.13,75.0,18.0
13,2012,19.39,15.83,18.96,3.56,0.43,1.14,82.0,41.0
14,2013,39.41,26.68,41.36,12.73,-1.95,1.11,78.0,61.0
15,YTD,5.54,6.66,8.61,-1.12,-3.06,1.09,57.0,45.0
