,Year,FSNGX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,26.19,24.93,32.83,1.26,-6.64,-6.64,-6.64,68.0
1,2000,71.29,-13.18,45.89,84.47,25.41,1.39,85.0,25.0
2,2001,-22.75,-16.82,-13.13,-5.93,-9.62,1.1,94.0,82.0
3,2002,-9.55,-19.89,-11.49,10.33,1.94,1.13,68.0,40.0
4,2003,28.68,33.11,32.28,-4.42,-3.6,1.24,108.0,58.0
5,2004,40.24,14.72,33.42,25.52,6.82,1.14,1.14,20.0
6,2005,45.89,9.49,46.33,36.41,-0.44,0.94,190.0,45.0
7,2006,5.26,20.07,12.05,-14.81,-6.79,0.88,148.0,90.0
8,2007,40.91,9.04,42.09,31.87,-1.18,0.89,59.0,64.0
9,2008,-56.65,-40.71,-51.12,-15.94,-5.53,0.85,68.0,79.0
10,2009,56.32,29.99,44.36,26.33,11.96,0.85,81.0,26.0
11,2010,6.43,11.76,17.14,-5.33,-10.71,0.93,110.0,90.0
12,2011,-7.67,-5.54,-7.54,-2.13,-0.12,0.88,167.0,49.0
13,2012,2.44,15.83,1.21,-13.38,1.23,0.86,63.0,39.0
14,2013,24.66,26.68,22.85,-2.01,1.81,0.86,107.0,34.0
15,YTD,-9.42,6.66,-13.55,-16.07,4.13,0.84,135.0,23.0
