,Year,VOHIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.0,-2.06,-3.47,-0.94,0.47,0.19,8.0,29.0
1,2000,12.9,11.68,10.11,1.21,2.79,0.19,16.0,3.0
2,2001,4.64,5.13,4.09,-0.49,0.55,0.17,19.0,19.0
3,2002,10.71,9.6,8.06,1.11,2.66,0.14,14.0,2.0
4,2003,5.33,5.31,4.36,0.02,0.97,0.15,0.15,17.0
5,2004,4.1,4.48,3.2,-0.38,0.91,0.14,18.0,27.0
6,2005,2.63,3.51,2.12,-0.88,0.51,0.14,22.0,34.0
7,2006,4.84,4.84,3.69,0.0,1.15,0.14,13.0,7.0
8,2007,3.25,3.36,2.26,-0.11,0.99,0.13,16.0,21.0
9,2008,-2.72,-2.47,-4.43,-0.24,1.72,0.13,23.0,45.0
10,2009,13.12,12.91,12.82,0.2,0.3,0.17,16.0,32.0
11,2010,1.21,2.38,1.17,-1.17,0.03,0.17,24.0,50.0
12,2011,10.08,10.7,9.24,-0.62,0.84,0.17,20.0,28.0
13,2012,7.47,6.78,6.79,0.69,0.68,0.16,15.0,28.0
14,2013,-3.16,-2.55,-3.98,-0.6,0.82,0.16,28.0,34.0
15,YTD,10.49,8.5,8.08,1.98,2.4,2.4,2.4,12.0
