,Year,FRDPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-10.28,21.04,20.16,-31.33,-30.44,-30.44,14.0,97.0
1,2000,18.98,-9.1,-6.31,28.08,25.29,1.58,12.0,12.0
2,2001,13.11,-11.89,-13.5,24.99,26.61,1.45,19.0,8.0
3,2002,-1.76,-22.1,-22.25,20.34,20.49,1.36,6.0,2.0
4,2003,23.7,28.68,27.05,-4.98,-3.34,1.37,4.0,92.0
5,2004,10.28,10.88,10.02,-0.6,0.26,1.25,1.25,94.0
6,2005,2.32,4.91,5.88,-2.59,-3.56,1.09,4.0,92.0
7,2006,17.36,15.79,14.17,1.56,3.19,1.0,8.0,8.0
8,2007,-2.95,5.49,6.16,-8.44,-9.11,1.0,6.0,96.0
9,2008,-27.22,-37.0,-37.79,9.78,10.57,1.01,4.0,3.0
10,2009,17.05,26.46,28.17,-9.42,-11.12,1.13,23.0,95.0
11,2010,19.08,15.06,14.01,4.01,5.07,1.05,6.0,7.0
12,2011,7.21,2.11,-1.27,5.09,8.48,0.99,4.0,3.0
13,2012,10.29,16.0,14.96,-5.71,-4.67,0.96,3.0,91.0
14,2013,29.3,32.39,31.5,-3.08,-2.2,0.93,1.0,76.0
15,YTD,9.28,13.98,11.28,-4.7,-2.0,0.91,4.0,76.0
