,Year,PRTAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.91,-2.06,-4.7,-1.85,0.79,0.79,34.0,33.0
1,2000,12.29,11.68,11.24,0.61,1.05,0.55,44.0,22.0
2,2001,4.38,5.13,3.92,-0.74,0.47,0.54,29.0,24.0
3,2002,9.23,9.6,8.45,-0.37,0.78,0.54,28.0,34.0
4,2003,5.11,5.31,4.9,-0.2,0.21,0.55,24.0,36.0
5,2004,4.31,4.48,3.77,-0.16,0.54,0.54,0.54,29.0
6,2005,3.7,3.51,3.1,0.18,0.6,0.54,30.0,24.0
7,2006,5.14,4.84,4.57,0.3,0.57,0.53,31.0,20.0
8,2007,2.21,3.36,1.27,-1.15,0.94,0.52,28.0,30.0
9,2008,-5.81,-2.47,-9.45,-3.33,3.64,0.52,30.0,28.0
10,2009,16.09,12.91,17.3,3.18,-1.2,0.53,41.0,49.0
11,2010,1.73,2.38,1.65,-0.65,0.07,0.53,17.0,47.0
12,2011,10.25,10.7,10.64,-0.45,-0.39,0.52,15.0,67.0
13,2012,8.57,6.78,8.87,1.79,-0.31,0.53,16.0,53.0
14,2013,-3.41,-2.55,-4.59,-0.85,1.19,0.51,10.0,17.0
15,YTD,9.84,8.5,9.8,1.33,0.04,0.52,14.0,50.0
