,Year,VUVLX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,,,,,,,18.0,18.0
1,2001,2.94,-11.89,-4.99,14.82,7.93,0.51,54.0,11.0
2,2002,-15.27,-22.1,-18.69,6.83,3.42,0.54,46.0,23.0
3,2003,30.26,28.68,28.44,1.57,1.82,0.63,50.0,31.0
4,2004,13.7,10.88,12.97,2.82,0.73,0.49,0.49,39.0
5,2005,6.37,4.91,5.95,1.46,0.42,0.39,52.0,40.0
6,2006,14.1,15.79,18.15,-1.69,-4.05,0.39,57.0,91.0
7,2007,-0.74,5.49,1.42,-6.24,-2.17,0.33,114.0,67.0
8,2008,-34.79,-37.0,-37.09,2.21,2.3,0.37,86.0,30.0
9,2009,15.29,26.46,24.13,-11.18,-8.84,0.52,74.0,91.0
10,2010,13.82,15.06,13.66,-1.24,0.16,0.41,73.0,42.0
11,2011,3.23,2.11,-0.75,1.12,3.97,0.29,60.0,21.0
12,2012,19.12,16.0,14.57,3.11,4.55,0.29,69.0,7.0
13,2013,33.98,32.39,31.21,1.59,2.77,0.29,75.0,27.0
14,YTD,13.6,13.98,10.25,-0.38,3.35,0.29,57.0,7.0
