,Year,MDFGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.27,21.04,38.87,4.22,-13.61,-13.61,-13.61,73.0
1,2000,-6.24,-9.1,-13.05,2.87,6.81,6.81,33.0,22.0
2,2001,-18.8,-11.89,-22.3,-6.91,3.5,1.33,22.0,39.0
3,2002,-23.47,-22.1,-27.64,-1.37,4.17,1.38,31.0,24.0
4,2003,28.9,28.68,28.66,0.21,0.24,1.38,1.38,41.0
5,2004,9.68,10.88,7.81,-1.2,1.87,1.44,1.44,32.0
6,2005,6.47,4.91,6.71,1.56,-0.24,1.31,70.0,48.0
7,2006,3.66,15.79,7.05,-12.13,-3.39,1.35,87.0,81.0
8,2007,18.25,5.49,13.35,12.76,4.9,1.28,97.0,24.0
9,2008,-36.56,-37.0,-40.67,0.43,4.1,1.23,80.0,17.0
10,2009,36.18,26.46,35.68,9.72,0.5,1.23,87.0,40.0
11,2010,19.13,15.06,15.53,4.06,3.6,1.13,71.0,20.0
12,2011,-9.13,2.11,-2.46,-11.25,-6.67,1.07,81.0,93.0
13,2012,13.93,16.0,15.34,-2.08,-1.41,1.09,77.0,62.0
14,2013,33.8,32.39,33.92,1.41,-0.12,1.09,134.0,49.0
15,YTD,9.55,13.98,10.79,-4.43,-1.24,1.07,100.0,68.0
