,Year,FDEGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,103.02,21.04,60.49,81.98,42.54,0.97,186.0,2.0
1,2000,-27.14,-9.1,-4.78,-18.04,-22.36,0.89,176.0,93.0
2,2001,-47.27,-11.89,-19.98,-35.38,-27.29,0.92,118.0,98.0
3,2002,-41.17,-22.1,-27.24,-19.07,-13.92,0.55,117.0,98.0
4,2003,33.42,28.68,35.96,4.74,-2.53,0.59,0.59,60.0
5,2004,11.19,10.88,13.23,0.3,-2.04,0.78,0.78,66.0
6,2005,7.23,4.91,9.84,2.32,-2.61,0.7,192.0,70.0
7,2006,8.93,15.79,9.0,-6.86,-0.07,0.75,155.0,48.0
8,2007,18.78,5.49,15.09,13.29,3.69,0.78,154.0,34.0
9,2008,-49.27,-37.0,-43.77,-12.27,-5.49,0.81,268.0,85.0
10,2009,39.66,26.46,39.11,13.19,0.55,0.85,285.0,53.0
11,2010,25.63,15.06,24.61,10.57,1.02,0.77,116.0,45.0
12,2011,-8.95,2.11,-3.96,-11.06,-4.99,0.77,165.0,83.0
13,2012,11.78,16.0,14.07,-4.22,-2.29,0.72,165.0,72.0
14,2013,37.87,32.39,34.93,5.48,2.94,0.69,87.0,24.0
15,YTD,13.82,13.98,6.96,-0.15,6.86,6.86,6.86,3.0
