,Year,FXNCX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.24,-2.06,-4.34,-2.18,0.1,0.1,5.0,48.0
1,2000,11.56,11.68,11.02,-0.13,0.53,0.68,21.0,28.0
2,2001,4.92,5.13,4.32,-0.21,0.6,0.69,10.0,21.0
3,2002,9.29,9.6,8.53,-0.32,0.75,0.69,11.0,20.0
4,2003,4.94,5.31,4.79,-0.38,0.15,0.66,8.0,38.0
5,2004,4.98,4.48,3.84,0.5,1.14,0.67,0.67,12.0
6,2005,4.06,3.51,2.96,0.55,1.1,0.67,8.0,9.0
7,2006,4.86,4.84,4.41,0.02,0.44,0.66,5.0,21.0
8,2007,2.11,3.36,1.65,-1.25,0.46,0.66,10.0,39.0
9,2008,-6.63,-2.47,-10.07,-4.16,3.44,0.65,12.0,44.0
10,2009,17.01,12.91,19.1,4.1,-2.09,0.64,7.0,45.0
11,2010,0.85,2.38,1.18,-1.53,-0.33,0.64,9.0,61.0
12,2011,11.29,10.7,10.2,0.59,1.08,0.63,10.0,22.0
13,2012,6.98,6.78,7.57,0.2,-0.6,0.63,6.0,62.0
14,2013,-6.75,-2.55,-5.66,-4.2,-1.1,0.62,7.0,84.0
15,YTD,8.16,8.5,9.57,-0.34,-1.41,0.62,7.0,83.0
