,Year,FDSCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,14.1,21.04,19.95,-6.94,-5.85,0.82,96.0,53.0
1,2000,5.76,-9.1,11.89,14.86,-6.13,0.84,159.0,69.0
2,2001,6.29,-11.89,8.92,18.18,-2.62,0.74,450.0,52.0
3,2002,-20.83,-22.1,-16.22,1.27,-4.61,0.91,329.0,23.0
4,2003,34.89,28.68,43.41,6.2,-8.52,0.93,0.93,86.0
5,2004,15.02,10.88,18.94,4.14,-3.92,0.91,0.91,35.0
6,2005,10.96,4.91,6.75,6.05,4.21,0.75,61.0,17.0
7,2006,14.59,15.79,15.03,-1.21,-0.44,0.81,126.0,22.0
8,2007,7.3,5.49,-1.1,1.8,8.4,0.99,84.0,53.0
9,2008,-46.99,-37.0,-36.56,-9.99,-10.43,0.94,101.0,88.0
10,2009,32.28,26.46,31.8,5.82,0.48,0.75,135.0,61.0
11,2010,33.73,15.06,25.61,18.67,8.12,0.72,138.0,15.0
12,2011,-2.59,2.11,-4.07,-4.7,1.48,0.85,73.0,40.0
13,2012,12.09,16.0,15.46,-3.91,-3.37,1.06,61.0,83.0
14,2013,36.75,32.39,37.39,4.37,-0.64,0.91,79.0,58.0
15,YTD,1.18,13.98,1.83,-12.79,-0.64,-0.64,-0.64,65.0
