,Year,PRHYX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.18,-0.82,5.05,5.0,-0.87,-0.87,96.0,55.0
1,2000,-3.25,11.63,-7.12,-14.88,3.87,0.83,76.0,22.0
2,2001,6.1,8.44,2.39,-2.34,3.71,0.82,80.0,21.0
3,2002,3.08,10.26,-1.52,-7.18,4.59,0.83,71.0,12.0
4,2003,22.53,4.1,24.36,18.43,-1.82,0.81,60.0,63.0
5,2004,10.33,4.34,9.99,5.99,0.34,0.78,0.78,39.0
6,2005,3.41,2.43,2.59,0.99,0.82,0.77,67.0,24.0
7,2006,9.75,4.33,10.14,5.41,-0.39,0.77,65.0,56.0
8,2007,3.15,6.97,1.47,-3.82,1.68,0.77,72.0,16.0
9,2008,-24.45,5.24,-26.41,-29.69,1.96,0.76,69.0,45.0
10,2009,49.16,5.93,46.7,43.23,2.46,0.8,54.0,42.0
11,2010,14.37,6.54,14.24,7.82,0.12,0.76,82.0,40.0
12,2011,3.2,7.84,2.83,-4.64,0.37,0.74,75.0,54.0
13,2012,15.21,4.21,14.67,10.99,0.54,0.75,63.0,38.0
14,2013,9.07,-2.02,6.9,11.09,2.17,0.74,80.0,14.0
15,YTD,3.56,5.87,2.83,-2.31,0.73,0.75,56.0,32.0
