,Year,FCYIX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,13.05,24.93,9.69,-11.89,3.35,3.35,3.35,34.0
1,2000,9.8,-13.18,8.96,22.98,0.84,2.49,211.0,25.0
2,2001,2.27,-16.82,0.46,19.1,1.81,2.49,150.0,50.0
3,2002,-19.96,-19.89,-17.88,-0.07,-2.08,1.78,67.0,77.0
4,2003,37.64,33.11,33.45,4.53,4.19,1.91,162.0,46.0
5,2004,23.47,14.72,21.3,8.75,2.17,1.57,1.57,23.0
6,2005,12.36,9.49,9.97,2.88,2.39,1.15,151.0,13.0
7,2006,14.79,20.07,12.89,-5.28,1.9,1.07,168.0,31.0
8,2007,17.7,9.04,8.77,8.67,8.93,1.09,185.0,24.0
9,2008,-40.14,-40.71,-37.69,0.57,-2.46,0.99,108.0,47.0
10,2009,38.91,29.99,26.94,8.92,11.97,0.99,132.0,20.0
11,2010,31.08,11.76,29.99,19.31,1.09,0.97,106.0,46.0
12,2011,-4.88,-5.54,-8.29,0.66,3.41,0.9,80.0,14.0
13,2012,19.6,15.83,18.96,3.77,0.64,0.86,102.0,38.0
14,2013,39.9,26.68,41.36,13.23,-1.45,0.84,75.0,46.0
15,YTD,5.4,6.66,8.61,-1.26,-3.21,0.81,58.0,52.0
