,Year,ACRNX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,33.38,21.04,60.49,12.33,-27.11,0.85,34.0,73.0
1,2000,10.06,-9.1,-4.78,19.16,14.83,0.83,29.0,19.0
2,2001,6.14,-11.89,-19.98,18.02,26.11,0.82,20.0,15.0
3,2002,-13.31,-22.1,-27.24,8.79,13.93,0.82,13.0,2.0
4,2003,45.68,28.68,35.96,17.0,9.73,0.8,0.8,41.0
5,2004,21.51,10.88,13.23,10.63,8.28,0.81,0.81,11.0
6,2005,13.11,4.91,9.84,8.19,3.27,0.74,16.0,8.0
7,2006,14.45,15.79,9.0,-1.34,5.45,0.74,22.0,13.0
8,2007,7.69,5.49,15.09,2.2,-7.4,0.74,20.0,84.0
9,2008,-38.55,-37.0,-43.77,-1.55,5.23,0.76,21.0,17.0
10,2009,39.65,26.46,39.11,13.18,0.54,0.77,27.0,53.0
11,2010,26.0,15.06,24.61,10.94,1.39,0.76,28.0,42.0
12,2011,-4.61,2.11,-3.96,-6.72,-0.65,0.76,18.0,54.0
13,2012,17.93,16.0,14.07,1.93,3.86,0.78,16.0,16.0
14,2013,30.9,32.39,34.93,-1.49,-4.02,0.78,18.0,78.0
15,YTD,0.61,13.98,6.96,-13.36,-6.35,-6.35,-6.35,94.0
