,Year,FGRTX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,8.09,21.04,20.16,-12.95,-12.07,-12.07,-12.07,89.0
1,2000,-3.89,-9.1,-6.31,5.21,2.42,0.84,59.0,29.0
2,2001,-9.14,-11.89,-13.5,2.74,4.36,0.86,79.0,16.0
3,2002,-17.06,-22.1,-22.25,5.04,5.19,0.89,54.0,11.0
4,2003,23.16,28.68,27.05,-5.53,-3.89,0.93,51.0,82.0
5,2004,5.75,10.88,10.02,-5.13,-4.28,0.85,0.85,90.0
6,2005,7.48,4.91,5.88,2.57,1.6,0.81,79.0,27.0
7,2006,12.84,15.79,14.17,-2.96,-1.33,0.82,180.0,73.0
8,2007,11.05,5.49,6.16,5.56,4.89,0.81,94.0,13.0
9,2008,-39.41,-37.0,-37.79,-2.41,-1.62,0.74,97.0,69.0
10,2009,28.61,26.46,28.17,2.14,0.44,0.78,138.0,41.0
11,2010,14.41,15.06,14.01,-0.65,0.4,0.79,97.0,41.0
12,2011,2.34,2.11,-1.27,0.23,3.61,0.78,53.0,16.0
13,2012,19.42,16.0,14.96,3.41,4.45,0.75,57.0,7.0
14,2013,33.23,32.39,31.5,0.84,1.73,0.7,29.0,33.0
15,YTD,12.45,13.98,11.28,-1.53,1.17,0.68,28.0,43.0
