,Year,VFSTX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.31,-0.82,2.21,4.13,1.09,1.09,46.0,17.0
1,2000,8.17,11.63,7.59,-3.45,0.58,0.25,52.0,33.0
2,2001,8.14,8.44,7.27,-0.31,0.86,0.24,54.0,20.0
3,2002,5.22,10.26,5.47,-5.04,-0.25,0.24,69.0,56.0
4,2003,4.2,4.1,2.54,0.1,1.66,0.23,59.0,8.0
5,2004,2.11,4.34,1.63,-2.23,0.49,0.21,0.21,26.0
6,2005,2.2,2.43,1.45,-0.23,0.75,0.18,37.0,14.0
7,2006,4.99,4.33,4.05,0.66,0.94,0.21,31.0,11.0
8,2007,5.86,6.97,4.29,-1.11,1.57,0.21,43.0,17.0
9,2008,-4.74,5.24,-4.23,-9.98,-0.52,0.21,48.0,66.0
10,2009,14.03,5.93,9.3,8.1,4.72,0.21,49.0,14.0
11,2010,5.21,6.54,4.11,-1.33,1.1,0.24,59.0,21.0
12,2011,1.93,7.84,1.66,-5.92,0.26,0.22,48.0,34.0
13,2012,4.52,4.21,3.67,0.31,0.85,0.2,47.0,31.0
14,2013,0.97,-2.02,0.45,3.0,0.52,0.2,80.0,29.0
15,YTD,2.15,5.87,1.45,-3.71,0.7,0.2,122.0,16.0
