,Year,FSCPX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,10.14,24.93,14.76,-14.79,-4.62,-4.62,-4.62,46.0
1,2000,-9.33,-13.18,-14.28,3.85,4.96,1.25,96.0,31.0
2,2001,-3.14,-16.82,-1.13,13.69,-2.01,1.78,92.0,64.0
3,2002,-17.08,-19.89,-17.74,2.81,0.66,1.69,110.0,65.0
4,2003,23.9,33.11,30.18,-9.2,-6.28,1.83,116.0,89.0
5,2004,9.23,14.72,12.53,-5.49,-3.3,1.54,1.54,63.0
6,2005,2.82,9.49,-0.22,-6.66,3.05,1.19,112.0,37.0
7,2006,13.09,20.07,16.06,-6.98,-2.97,1.13,71.0,58.0
8,2007,-8.31,9.04,-6.83,-17.35,-1.48,1.13,244.0,46.0
9,2008,-34.64,-40.71,-39.8,6.08,5.17,1.12,108.0,25.0
10,2009,38.12,29.99,37.84,8.13,0.28,1.15,71.0,45.0
11,2010,31.24,11.76,27.35,19.47,3.89,1.08,134.0,11.0
12,2011,-1.66,-5.54,1.58,3.88,-3.24,0.95,196.0,59.0
13,2012,21.12,15.83,22.64,5.3,-1.52,0.88,174.0,50.0
14,2013,41.03,26.68,37.14,14.35,3.89,0.84,170.0,36.0
15,YTD,8.8,6.66,6.5,2.14,2.3,0.81,138.0,10.0
