,Year,MAMTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.07,-2.06,-2.06,-0.02,-0.01,-0.01,159.0,54.0
1,2000,10.01,11.68,9.16,-1.67,0.85,0.8,210.0,24.0
2,2001,3.47,5.13,4.39,-1.65,-0.92,0.9,170.0,91.0
3,2002,10.28,9.6,8.57,0.68,1.71,0.89,201.0,8.0
4,2003,4.92,5.31,4.1,-0.4,0.82,0.85,0.85,16.0
5,2004,3.05,4.48,2.83,-1.42,0.22,0.79,0.79,37.0
6,2005,1.35,3.51,1.8,-2.17,-0.45,0.74,190.0,65.0
7,2006,3.98,4.84,3.67,-0.86,0.31,0.73,102.0,30.0
8,2007,3.25,3.36,2.75,-0.11,0.5,0.75,54.0,36.0
9,2008,-4.0,-2.47,-2.32,-1.53,-1.68,0.75,32.0,70.0
10,2009,13.38,12.91,11.41,0.47,1.97,0.76,25.0,26.0
11,2010,3.82,2.38,2.22,1.44,1.59,0.72,23.0,5.0
12,2011,11.32,10.7,9.0,0.62,2.32,0.66,30.0,7.0
13,2012,8.43,6.78,5.62,1.65,2.8,0.64,15.0,11.0
14,2013,-2.85,-2.55,-2.27,-0.29,-0.58,0.62,17.0,70.0
15,YTD,8.35,8.5,6.44,-0.15,1.91,0.65,200.0,17.0
