,Year,PFUIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,-9.06,2.43,-3.33,-11.49,-5.73,0.5,344.0,84.0
1,2006,6.64,4.33,5.42,2.31,1.22,0.5,480.0,32.0
2,2007,10.46,6.97,7.28,3.49,3.17,0.5,644.0,10.0
3,2008,-4.04,5.24,-1.57,-9.28,-2.47,0.5,798.0,71.0
4,2009,21.33,5.93,13.12,15.4,8.2,0.5,653.0,9.0
5,2010,12.47,6.54,6.35,5.93,6.12,0.5,485.0,9.0
6,2011,8.38,7.84,3.39,0.54,4.98,0.5,427.0,5.0
7,2012,6.71,4.21,8.09,2.49,-1.39,0.5,486.0,64.0
8,2013,-5.63,-2.02,-2.62,-3.61,-3.01,0.5,424.0,83.0
9,YTD,1.69,5.87,2.75,-4.18,-1.06,0.5,187.0,63.0
