,Year,VGPMX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,28.82,24.93,6.16,3.89,22.66,22.66,23.0,1.0
1,2000,-7.34,-13.18,-16.92,5.84,9.58,0.77,28.0,4.0
2,2001,18.33,-16.82,19.57,35.16,-1.24,0.65,17.0,56.0
3,2002,33.35,-19.89,63.93,53.24,-30.58,0.63,52.0,100.0
4,2003,59.45,33.11,57.15,26.34,2.3,0.6,43.0,32.0
5,2004,8.09,14.72,-8.21,-6.63,16.3,0.55,0.55,1.0
6,2005,43.79,9.49,30.81,34.31,12.98,0.48,36.0,1.0
7,2006,34.3,20.07,31.64,14.24,2.66,0.4,20.0,42.0
8,2007,36.13,9.04,23.19,27.1,12.94,0.35,24.0,1.0
9,2008,-56.02,-40.71,-29.85,-15.3,-26.16,0.28,29.0,98.0
10,2009,76.46,29.99,52.56,46.47,23.89,0.3,22.0,6.0
11,2010,37.45,11.76,41.56,25.69,-4.11,0.27,17.0,62.0
12,2011,-21.7,-5.54,-20.68,-16.16,-1.02,0.27,34.0,62.0
13,2012,-12.98,15.83,-9.2,-28.81,-3.78,0.29,22.0,87.0
14,2013,-35.13,26.68,-48.8,-61.81,13.67,0.26,30.0,1.0
15,YTD,-11.8,6.66,-10.49,-18.46,-1.3,0.25,34.0,61.0
