,Year,PSOAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-11.88,21.04,6.78,-32.93,-18.67,-18.67,-18.67,98.0
1,2000,29.45,-9.1,18.64,38.56,10.81,1.18,146.0,9.0
2,2001,26.12,-11.89,15.92,38.01,10.2,1.21,75.0,15.0
3,2002,-11.17,-22.1,-10.12,10.93,-1.05,1.23,40.0,59.0
4,2003,39.02,28.68,42.38,10.33,-3.37,1.25,46.0,59.0
5,2004,19.18,10.88,21.14,8.3,-1.97,1.23,1.23,69.0
6,2005,6.68,4.91,6.4,1.77,0.28,1.25,57.0,53.0
7,2006,18.82,15.79,16.27,3.03,2.55,1.25,45.0,32.0
8,2007,-7.23,5.49,-6.08,-12.73,-1.15,1.24,38.0,57.0
9,2008,-29.96,-37.0,-32.24,7.04,2.28,1.25,35.0,37.0
10,2009,24.62,26.46,31.32,-1.85,-6.7,1.25,33.0,67.0
11,2010,25.47,15.06,26.17,10.41,-0.69,1.25,50.0,54.0
12,2011,-4.14,2.11,-4.45,-6.25,0.31,1.24,43.0,50.0
13,2012,20.18,16.0,16.0,4.18,4.18,1.25,38.0,18.0
14,2013,36.16,32.39,36.22,3.78,-0.05,1.24,38.0,50.0
15,YTD,0.32,13.98,1.3,-13.65,-0.98,1.24,40.0,71.0
