,Year,VTRIX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,21.77,30.63,30.02,-8.86,-8.25,0.59,41.0,92.0
1,2000,-7.42,-15.31,-6.76,7.9,-0.66,0.53,78.0,8.0
2,2001,-14.05,-19.73,-15.98,5.68,1.92,0.64,37.0,7.0
3,2002,-13.35,-14.95,-12.37,1.59,-0.98,0.65,26.0,19.0
4,2003,41.9,40.83,39.07,1.07,2.83,0.62,0.62,6.0
5,2004,19.77,20.91,21.99,-1.14,-2.22,0.56,0.56,19.0
6,2005,17.96,16.62,13.19,1.34,4.77,0.5,32.0,15.0
7,2006,27.37,26.65,25.98,0.72,1.39,0.45,36.0,20.0
8,2007,12.66,16.65,9.01,-3.99,3.65,0.4,38.0,19.0
9,2008,-41.74,-45.53,-42.41,3.79,0.67,0.42,59.0,40.0
10,2009,33.77,41.45,30.33,-7.68,3.44,0.45,55.0,30.0
11,2010,7.31,11.15,7.48,-3.84,-0.17,0.39,51.0,51.0
12,2011,-14.58,-13.71,-12.77,-0.87,-1.82,0.39,39.0,72.0
13,2012,20.18,16.83,16.21,3.35,3.97,0.4,53.0,16.0
14,2013,22.15,15.29,20.81,6.86,1.33,0.43,52.0,43.0
15,YTD,-1.85,-0.27,-2.55,-1.58,0.71,0.71,0.71,39.0
