,Year,FRPAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.08,-2.06,-4.22,-2.02,0.15,0.15,11.0,37.0
1,2000,10.91,11.68,10.33,-0.78,0.58,0.66,24.0,35.0
2,2001,5.4,5.13,4.6,0.28,0.8,0.67,8.0,22.0
3,2002,8.99,9.6,8.48,-0.61,0.51,0.67,11.0,26.0
4,2003,4.73,5.31,4.82,-0.58,-0.09,0.66,7.0,43.0
5,2004,4.23,4.48,3.43,-0.25,0.8,0.66,0.66,19.0
6,2005,4.02,3.51,3.05,0.51,0.97,0.66,7.0,11.0
7,2006,4.78,4.84,4.4,-0.06,0.39,0.66,13.0,25.0
8,2007,2.94,3.36,1.67,-0.42,1.27,0.66,7.0,20.0
9,2008,-6.45,-2.47,-7.76,-3.97,1.31,0.66,17.0,45.0
10,2009,15.84,12.91,16.61,2.93,-0.77,0.65,12.0,39.0
11,2010,1.04,2.38,1.48,-1.34,-0.45,0.65,13.0,63.0
12,2011,11.66,10.7,9.84,0.96,1.82,0.64,13.0,11.0
13,2012,7.42,6.78,7.47,0.64,-0.04,0.64,9.0,52.0
14,2013,-6.15,-2.55,-4.62,-3.6,-1.54,0.63,5.0,83.0
15,YTD,9.93,8.5,9.46,1.43,0.47,0.63,7.0,40.0
