,Year,TEPLX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,30.44,30.63,41.13,-0.19,-10.69,-10.69,32.0,55.0
1,2000,1.74,-15.31,-9.14,17.05,10.88,1.11,51.0,17.0
2,2001,0.54,-19.73,-17.51,20.27,18.05,1.15,24.0,3.0
3,2002,-9.48,-14.95,-19.36,5.47,9.88,1.1,56.0,9.0
4,2003,32.85,40.83,34.49,-7.98,-1.64,1.13,32.0,54.0
5,2004,17.0,20.91,15.27,-3.91,1.73,1.1,1.1,35.0
6,2005,8.15,16.62,11.61,-8.47,-3.46,1.06,20.0,72.0
7,2006,21.81,26.65,19.72,-4.84,2.09,1.05,35.0,29.0
8,2007,2.19,16.65,11.28,-14.47,-9.09,1.01,20.0,91.0
9,2008,-43.47,-45.53,-41.91,2.06,-1.56,1.03,17.0,59.0
10,2009,30.81,41.45,35.27,-10.64,-4.46,1.12,11.0,62.0
11,2010,7.54,11.15,13.74,-3.62,-6.21,1.1,9.0,88.0
12,2011,-6.38,-13.71,-7.93,7.32,1.55,1.08,22.0,37.0
13,2012,21.54,16.83,15.84,4.71,5.7,1.11,13.0,12.0
14,2013,30.15,15.29,25.19,14.87,4.96,1.07,12.0,19.0
15,YTD,0.24,-0.27,4.54,0.51,-4.3,1.03,17.0,85.0
