,Year,FDCPX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,81.1,24.93,129.22,56.17,-48.11,-48.11,-48.11,87.0
1,2000,-30.39,-13.18,-31.36,-17.21,0.97,1.05,129.0,50.0
2,2001,-27.33,-16.82,-36.89,-10.5,9.57,0.95,179.0,24.0
3,2002,-42.05,-19.89,-42.86,-22.16,0.81,1.13,206.0,43.0
4,2003,62.7,33.11,55.77,29.6,6.94,1.31,106.0,23.0
5,2004,-1.98,14.72,4.24,-16.7,-6.22,1.16,1.16,83.0
6,2005,2.65,9.49,5.76,-6.84,-3.11,0.98,100.0,69.0
7,2006,9.45,20.07,7.08,-10.61,2.37,0.98,112.0,25.0
8,2007,22.44,9.04,16.12,13.4,6.31,1.0,214.0,19.0
9,2008,-48.52,-40.71,-45.33,-7.81,-3.19,0.91,234.0,72.0
10,2009,83.17,29.99,61.99,53.18,21.18,0.91,183.0,8.0
11,2010,23.76,11.76,20.0,11.99,3.76,0.92,269.0,32.0
12,2011,-4.48,-5.54,-7.62,1.06,3.13,0.88,141.0,27.0
13,2012,14.26,15.83,13.08,-1.56,1.18,0.85,193.0,38.0
14,2013,31.09,26.68,35.45,4.41,-4.36,0.82,184.0,61.0
15,YTD,14.64,6.66,13.32,7.98,1.32,0.82,35.0,37.0
