,Year,JPICX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.61,-2.06,-2.78,1.45,2.17,2.17,2.17,12.0
1,2000,10.18,11.68,11.07,-1.5,-0.89,0.5,87.0,47.0
2,2001,4.53,5.13,4.42,-0.6,0.11,0.5,55.0,42.0
3,2002,8.08,9.6,7.66,-1.52,0.42,0.5,65.0,42.0
4,2003,3.77,5.31,3.27,-1.55,0.5,0.5,49.0,26.0
5,2004,2.89,4.48,2.57,-1.59,0.32,0.5,0.5,32.0
6,2005,1.76,3.51,1.89,-1.76,-0.13,0.5,40.0,38.0
7,2006,3.89,4.84,3.71,-0.95,0.18,0.5,4.0,40.0
8,2007,3.62,3.36,2.5,0.26,1.12,0.5,22.0,22.0
9,2008,-0.2,-2.47,-3.59,2.28,3.39,0.5,19.0,36.0
10,2009,8.95,12.91,10.27,-3.96,-1.32,0.5,14.0,46.0
11,2010,2.54,2.38,2.34,0.16,0.2,0.49,4.0,48.0
12,2011,9.89,10.7,8.67,-0.81,1.22,0.48,4.0,39.0
13,2012,5.17,6.78,5.51,-1.61,-0.34,0.49,7.0,66.0
14,2013,-0.89,-2.55,-1.44,1.66,0.54,0.48,21.0,21.0
15,YTD,6.11,8.5,6.11,-2.39,0.0,0.49,7.0,44.0
