,Year,FMVAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,,,,,,1.4,1.4,1.4
1,2006,13.92,15.79,15.87,-1.87,-1.95,1.4,11.0,71.0
2,2007,0.25,5.49,0.83,-5.25,-0.58,1.4,12.0,58.0
3,2008,-36.87,-37.0,-36.77,0.13,-0.1,1.4,27.0,53.0
4,2009,28.09,26.46,35.41,1.63,-7.32,1.36,15.0,77.0
5,2010,23.72,15.06,21.92,8.65,1.79,1.35,21.0,30.0
6,2011,-5.39,2.11,-3.96,-7.5,-1.44,1.35,19.0,62.0
7,2012,14.03,16.0,16.6,-1.98,-2.57,1.35,22.0,73.0
8,2013,32.59,32.39,35.14,0.21,-2.55,1.35,10.0,70.0
9,YTD,6.46,13.98,8.68,-7.51,-2.22,-2.22,-2.22,74.0
