,Year,NJTFX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.14,-2.06,-4.41,-2.08,0.27,0.27,0.27,53.0
1,2000,11.41,11.68,10.78,-0.27,0.63,0.63,50.0,26.0
2,2001,4.81,5.13,4.05,-0.31,0.76,0.63,25.0,16.0
3,2002,9.69,9.6,8.13,0.08,1.55,0.59,17.0,12.0
4,2003,5.1,5.31,4.68,-0.22,0.41,0.59,15.0,28.0
5,2004,4.17,4.48,3.55,-0.3,0.62,0.58,0.58,25.0
6,2005,3.25,3.51,3.38,-0.27,-0.14,0.58,20.0,39.0
7,2006,4.78,4.84,4.65,-0.07,0.12,0.57,18.0,33.0
8,2007,1.82,3.36,1.43,-1.54,0.39,0.55,15.0,57.0
9,2008,-5.2,-2.47,-8.16,-2.73,2.96,0.55,17.0,35.0
10,2009,14.4,12.91,17.34,1.49,-2.94,0.56,12.0,56.0
11,2010,1.94,2.38,1.38,-0.44,0.57,0.53,10.0,30.0
12,2011,9.96,10.7,10.38,-0.74,-0.42,0.52,19.0,69.0
13,2012,8.04,6.78,8.37,1.26,-0.33,0.53,12.0,47.0
14,2013,-3.15,-2.55,-5.14,-0.6,1.98,0.51,13.0,13.0
15,YTD,9.32,8.5,9.39,0.82,-0.07,0.52,17.0,44.0
