,Year,RPIBX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-7.86,-0.82,-2.86,-7.04,-5.0,0.9,95.0,81.0
1,2000,-3.13,11.63,3.21,-14.75,-6.34,0.91,161.0,86.0
2,2001,-3.41,8.44,1.95,-11.85,-5.36,0.95,108.0,83.0
3,2002,21.8,10.26,14.1,11.55,7.7,0.93,114.0,9.0
4,2003,18.77,4.1,13.79,14.67,4.98,0.91,0.91,25.0
5,2004,11.4,4.34,8.98,7.06,2.43,0.88,0.88,20.0
6,2005,-8.18,2.43,-3.33,-10.61,-4.86,0.86,104.0,78.0
7,2006,7.55,4.33,5.42,3.22,2.13,0.84,121.0,20.0
8,2007,10.05,6.97,7.28,3.08,2.77,0.82,78.0,17.0
9,2008,1.77,5.24,-1.57,-3.47,3.35,0.81,69.0,33.0
10,2009,8.38,5.93,13.12,2.45,-4.74,0.82,58.0,71.0
11,2010,5.17,6.54,6.35,-1.37,-1.18,0.82,62.0,63.0
12,2011,2.63,7.84,3.39,-5.21,-0.76,0.83,36.0,68.0
13,2012,6.1,4.21,8.09,1.89,-1.99,0.84,52.0,75.0
14,2013,-3.81,-2.02,-2.62,-1.79,-1.2,0.83,74.0,67.0
15,YTD,-2.11,5.87,2.75,-7.98,-4.86,-4.86,-4.86,93.0
