,Year,VSEQX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,19.25,21.04,20.92,-1.79,-1.67,-1.67,51.0,15.0
1,2000,7.46,-9.1,6.36,16.57,1.11,0.49,83.0,81.0
2,2001,5.42,-11.89,-3.12,17.31,8.54,0.54,82.0,48.0
3,2002,-13.14,-22.1,-16.55,8.96,3.41,0.5,73.0,27.0
4,2003,43.83,28.68,36.28,15.14,7.54,0.5,0.5,15.0
5,2004,20.49,10.88,16.3,9.61,4.19,0.45,0.45,17.0
6,2005,9.97,4.91,9.25,5.06,0.72,0.4,75.0,46.0
7,2006,13.43,15.79,14.03,-2.36,-0.6,0.35,80.0,47.0
8,2007,-1.84,5.49,4.85,-7.34,-6.7,0.3,75.0,85.0
9,2008,-41.51,-37.0,-39.18,-4.51,-2.33,0.25,79.0,67.0
10,2009,32.06,26.46,37.39,5.59,-5.33,0.3,60.0,68.0
11,2010,21.38,15.06,22.52,6.31,-1.15,0.3,60.0,64.0
12,2011,1.17,2.11,-3.81,-0.95,4.98,0.3,73.0,11.0
13,2012,18.9,16.0,16.15,2.9,2.75,0.29,67.0,21.0
14,2013,41.54,32.39,34.1,9.16,7.44,0.28,64.0,7.0
15,YTD,12.9,13.98,7.43,-1.08,5.47,0.27,60.0,7.0
