,Year,FSCHX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,19.19,24.93,30.64,-5.75,-11.45,-11.45,-11.45,16.0
1,2000,2.93,-13.18,29.49,16.11,-26.56,1.63,132.0,41.0
2,2001,12.36,-16.82,-10.44,29.18,22.8,1.55,259.0,13.0
3,2002,-9.62,-19.89,-0.8,10.26,-8.82,1.23,221.0,19.0
4,2003,35.1,33.11,32.76,1.99,2.34,1.5,114.0,36.0
5,2004,32.81,14.72,27.47,18.09,5.35,1.43,1.43,1.0
6,2005,1.12,9.49,38.2,-8.37,-37.08,1.04,73.0,61.0
7,2006,16.81,20.07,10.53,-3.26,6.28,0.99,141.0,31.0
8,2007,28.42,9.04,37.12,19.38,-8.7,1.06,90.0,1.0
9,2008,-43.34,-40.71,-48.79,-2.63,5.45,0.93,65.0,85.0
10,2009,65.32,29.99,48.48,35.34,16.85,0.9,201.0,15.0
11,2010,30.73,11.76,18.06,18.96,12.66,0.95,228.0,10.0
12,2011,0.29,-5.54,-13.97,5.83,14.26,0.89,108.0,29.0
13,2012,30.01,15.83,4.34,14.19,25.67,0.84,119.0,1.0
14,2013,29.86,26.68,8.75,3.18,21.11,0.81,60.0,2.0
15,YTD,4.83,6.66,-10.45,-1.82,15.28,0.8,109.0,1.0
