,Year,FSESX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,72.15,24.93,32.83,47.21,39.32,39.32,39.32,1.0
1,2000,50.34,-13.18,45.89,63.52,4.45,1.2,69.0,35.0
2,2001,-21.01,-16.82,-13.13,-4.19,-7.88,1.12,99.0,78.0
3,2002,-0.68,-19.89,-11.49,19.21,10.81,1.03,90.0,20.0
4,2003,7.59,33.11,32.28,-25.52,-24.69,1.12,64.0,100.0
5,2004,34.93,14.72,33.42,20.2,1.5,1.13,1.13,43.0
6,2005,54.14,9.49,46.33,44.65,7.81,0.96,34.0,14.0
7,2006,8.65,20.07,12.05,-11.41,-3.4,0.91,58.0,81.0
8,2007,55.21,9.04,42.09,46.18,13.12,0.88,92.0,4.0
9,2008,-63.16,-40.71,-51.12,-22.45,-12.04,0.83,64.0,94.0
10,2009,61.96,29.99,44.36,31.97,17.6,0.82,82.0,23.0
11,2010,27.92,11.76,17.14,16.15,10.77,0.91,84.0,3.0
12,2011,-12.56,-5.54,-7.54,-7.02,-5.02,0.85,85.0,78.0
13,2012,2.57,15.83,1.21,-13.26,1.36,0.81,74.0,38.0
14,2013,27.48,26.68,22.85,0.8,4.63,0.81,49.0,19.0
15,YTD,-19.02,6.66,-13.55,-25.68,-5.48,0.8,34.0,85.0
