,Year,OPSIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.04,-0.82,2.89,4.86,1.15,1.15,172.0,35.0
1,2000,2.21,11.63,1.73,-9.42,0.48,0.95,136.0,46.0
2,2001,3.55,8.44,4.22,-4.89,-0.67,0.93,209.0,64.0
3,2002,6.83,10.26,6.76,-3.42,0.07,1.01,117.0,48.0
4,2003,19.58,4.1,16.18,15.47,3.4,0.95,104.0,28.0
5,2004,9.62,4.34,8.38,5.28,1.24,0.95,0.95,25.0
6,2005,4.16,2.43,2.12,1.73,2.04,0.94,103.0,12.0
7,2006,7.68,4.33,6.9,3.35,0.78,0.92,96.0,28.0
8,2007,9.22,6.97,4.45,2.26,4.78,0.89,72.0,4.0
9,2008,-16.5,5.24,-15.41,-21.74,-1.09,0.89,71.0,59.0
10,2009,22.09,5.93,29.22,16.16,-7.13,0.95,96.0,75.0
11,2010,15.96,6.54,10.86,9.42,5.1,0.95,94.0,6.0
12,2011,0.89,7.84,3.37,-6.95,-2.48,0.92,53.0,86.0
13,2012,13.49,4.21,11.71,9.28,1.78,0.93,74.0,24.0
14,2013,-0.36,-2.02,1.87,1.66,-2.23,0.93,95.0,76.0
15,YTD,3.98,5.87,4.67,-1.88,-0.68,0.97,93.0,66.0
