,Year,FUSEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,20.66,21.04,20.16,-0.38,0.5,0.5,0.5,41.0
1,2000,-9.18,-9.1,-6.31,-0.07,-2.87,-2.87,-2.87,54.0
2,2001,-12.05,-11.89,-13.5,-0.16,1.45,0.17,12.0,38.0
3,2002,-22.21,-22.1,-22.25,-0.11,0.04,0.19,4.0,42.0
4,2003,28.5,28.68,27.05,-0.18,1.45,0.19,6.0,28.0
5,2004,10.73,10.88,10.02,-0.15,0.7,0.19,0.19,36.0
6,2005,4.85,4.91,5.88,-0.07,-1.03,0.14,5.0,58.0
7,2006,15.72,15.79,14.17,-0.08,1.55,0.09,6.0,22.0
8,2007,5.43,5.49,6.16,-0.06,-0.73,0.09,7.0,50.0
9,2008,-37.03,-37.0,-37.79,-0.04,0.76,0.09,7.0,39.0
10,2009,26.51,26.46,28.17,0.05,-1.66,0.1,8.0,54.0
11,2010,14.98,15.06,14.01,-0.09,0.97,0.1,3.0,30.0
12,2011,2.03,2.11,-1.27,-0.08,3.3,0.1,4.0,18.0
13,2012,15.93,16.0,14.96,-0.07,0.97,0.1,5.0,36.0
14,2013,32.25,32.39,31.5,-0.14,0.75,0.1,4.0,43.0
15,YTD,13.88,13.98,11.28,-0.09,2.6,0.1,4.0,18.0
