,Year,URTLX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.39,24.93,-2.76,-25.33,2.37,2.37,67.0,21.0
1,2000,31.54,-13.18,27.02,44.72,4.53,1.4,64.0,15.0
2,2001,10.03,-16.82,10.0,26.86,0.04,1.4,29.0,32.0
3,2002,4.5,-19.89,4.54,24.39,-0.04,1.4,33.0,43.0
4,2003,36.51,33.11,36.8,3.4,-0.29,1.4,36.0,49.0
5,2004,32.41,14.72,32.02,17.69,0.39,1.17,1.17,50.0
6,2005,15.91,9.49,11.51,6.43,4.4,1.0,179.0,9.0
7,2006,34.69,20.07,33.58,14.63,1.11,1.0,166.0,52.0
8,2007,-14.51,9.04,-14.66,-23.54,0.16,1.0,202.0,31.0
9,2008,-42.24,-40.71,-39.55,-1.53,-2.69,0.92,123.0,81.0
10,2009,32.39,29.99,31.26,2.41,1.13,0.93,122.0,22.0
11,2010,28.22,11.76,27.08,16.46,1.14,0.85,133.0,34.0
12,2011,10.8,-5.54,7.51,16.34,3.29,0.78,141.0,6.0
13,2012,16.74,15.83,17.6,0.91,-0.86,0.78,78.0,52.0
14,2013,0.9,26.68,1.55,-25.78,-0.65,0.78,60.0,69.0
15,YTD,28.39,6.66,25.93,21.73,2.46,0.73,105.0,21.0
