,Year,OPTFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,42.09,21.04,38.87,21.05,3.22,3.22,59.0,32.0
1,2000,-1.29,-9.1,-13.05,7.82,11.76,1.06,44.0,10.0
2,2001,-12.69,-11.89,-22.3,-0.81,9.61,1.03,46.0,13.0
3,2002,-26.26,-22.1,-27.64,-4.16,1.38,1.22,28.0,41.0
4,2003,29.46,28.68,28.66,0.77,0.8,1.17,42.0,36.0
5,2004,6.46,10.88,7.81,-4.43,-1.35,1.09,1.09,61.0
6,2005,4.7,4.91,6.71,-0.22,-2.02,1.06,38.0,64.0
7,2006,7.5,15.79,7.05,-8.29,0.45,1.07,83.0,46.0
8,2007,13.76,5.49,13.35,8.27,0.41,1.05,51.0,44.0
9,2008,-45.89,-37.0,-40.67,-8.9,-5.23,1.07,64.0,88.0
10,2009,43.58,26.46,35.68,17.12,7.9,1.19,60.0,16.0
11,2010,9.14,15.06,15.53,-5.92,-6.39,1.19,63.0,94.0
12,2011,-1.57,2.11,-2.46,-3.69,0.89,1.15,30.0,46.0
13,2012,13.69,16.0,15.34,-2.31,-1.65,1.13,26.0,65.0
14,2013,29.24,32.39,33.92,-3.15,-4.68,1.11,61.0,86.0
15,YTD,15.38,13.98,10.79,1.41,4.59,1.05,67.0,7.0
