,Year,FAVAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,,,,,,,15.0,15.0
1,2002,-15.47,-22.1,-18.69,6.63,3.22,1.62,115.0,24.0
2,2003,33.61,28.68,28.44,4.93,5.18,1.44,1.44,13.0
3,2004,10.74,10.88,12.97,-0.14,-2.22,1.4,1.4,73.0
4,2005,5.92,4.91,5.95,1.0,-0.04,1.2,190.0,45.0
5,2006,13.74,15.79,18.15,-2.05,-4.41,1.24,251.0,93.0
6,2007,9.26,5.49,1.42,3.76,7.83,1.25,136.0,21.0
7,2008,-42.38,-37.0,-37.09,-5.38,-5.28,1.25,170.0,86.0
8,2009,27.01,26.46,24.13,0.54,2.88,1.24,135.0,50.0
9,2010,14.89,15.06,13.66,-0.17,1.23,1.25,103.0,32.0
10,2011,-2.72,2.11,-0.75,-4.83,-1.97,1.25,65.0,68.0
11,2012,16.48,16.0,14.57,0.48,1.91,1.25,77.0,26.0
12,2013,34.95,32.39,31.21,2.57,3.74,1.2,68.0,22.0
13,YTD,13.07,13.98,10.25,-0.9,2.82,2.82,2.82,11.0
