,Year,FRHIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.14,-2.06,-3.71,-1.09,0.57,0.57,19.0,25.0
1,2000,5.8,11.68,5.54,-5.88,0.26,0.61,25.0,42.0
2,2001,5.92,5.13,5.41,0.79,0.51,0.62,11.0,24.0
3,2002,5.15,9.6,6.29,-4.45,-1.14,0.62,10.0,73.0
4,2003,7.95,5.31,7.01,2.63,0.93,0.62,12.0,22.0
5,2004,6.89,4.48,6.57,2.41,0.32,0.62,0.62,26.0
6,2005,5.44,3.51,6.35,1.92,-0.91,0.62,9.0,76.0
7,2006,7.45,4.84,7.14,2.61,0.31,0.63,12.0,31.0
8,2007,-0.11,3.36,-3.31,-3.47,3.19,0.62,11.0,10.0
9,2008,-17.21,-2.47,-25.27,-14.73,8.06,0.62,20.0,11.0
10,2009,27.74,12.91,30.89,14.83,-3.15,0.63,19.0,72.0
11,2010,2.81,2.38,3.77,0.43,-0.96,0.63,9.0,77.0
12,2011,12.37,10.7,10.18,1.67,2.19,0.63,18.0,11.0
13,2012,11.08,6.78,13.82,4.3,-2.74,0.64,9.0,82.0
14,2013,-6.73,-2.55,-5.99,-4.18,-0.74,0.65,10.0,71.0
15,YTD,12.94,8.5,12.88,4.43,0.06,0.63,17.0,49.0
