,Year,FVDFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,29.56,28.68,28.44,0.88,1.13,1.44,158.0,77.0
1,2004,14.57,10.88,12.97,3.69,1.6,1.08,1.08,66.0
2,2005,18.7,4.91,5.95,13.78,12.74,0.91,113.0,3.0
3,2006,15.6,15.79,18.15,-0.19,-2.55,0.91,202.0,31.0
4,2007,9.71,5.49,1.42,4.22,8.29,0.87,146.0,19.0
5,2008,-42.32,-37.0,-37.09,-5.32,-5.22,0.93,149.0,86.0
6,2009,27.68,26.46,24.13,1.22,3.56,0.92,165.0,46.0
7,2010,15.37,15.06,13.66,0.31,1.71,0.95,116.0,25.0
8,2011,-2.28,2.11,-0.75,-4.39,-1.53,0.79,59.0,64.0
9,2012,16.97,16.0,14.57,0.96,2.4,0.87,92.0,21.0
10,2013,35.51,32.39,31.21,3.12,4.3,0.73,55.0,19.0
11,YTD,13.73,13.98,10.25,-0.25,3.48,0.8,58.0,6.0
