,Year,PRGSX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,28.76,30.63,41.13,-1.87,-12.37,1.2,38.0,60.0
1,2000,-7.99,-15.31,-9.14,7.32,1.15,1.2,72.0,40.0
2,2001,-15.39,-19.73,-17.51,4.35,2.13,1.2,52.0,40.0
3,2002,-20.75,-14.95,-19.36,-5.81,-1.39,1.2,48.0,57.0
4,2003,30.05,40.83,34.49,-10.78,-4.44,1.2,1.2,68.0
5,2004,14.4,20.91,15.27,-6.5,-0.86,1.2,1.2,56.0
6,2005,22.74,16.62,11.61,6.12,11.13,1.18,155.0,1.0
7,2006,22.5,26.65,19.72,-4.15,2.79,1.0,141.0,22.0
8,2007,20.36,16.65,11.28,3.71,9.08,0.87,110.0,8.0
9,2008,-53.66,-45.53,-41.91,-8.14,-11.75,0.86,146.0,97.0
10,2009,44.77,41.45,35.27,3.33,9.5,0.95,90.0,17.0
11,2010,12.45,11.15,13.74,1.3,-1.29,0.87,83.0,52.0
12,2011,-11.55,-13.71,-7.93,2.16,-3.62,0.87,71.0,74.0
13,2012,16.39,16.83,15.84,-0.44,0.55,0.88,84.0,48.0
14,2013,32.55,15.29,25.19,17.26,7.36,0.91,156.0,13.0
15,YTD,8.73,-0.27,4.54,9.0,4.19,4.19,4.19,13.0
