,Year,FRTIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-6.39,-2.06,-4.34,-4.34,-2.05,-2.05,13.0,90.0
1,2000,13.2,11.68,11.02,1.52,2.18,0.4,30.0,8.0
2,2001,4.39,5.13,4.32,-0.74,0.07,0.4,10.0,44.0
3,2002,9.2,9.6,8.53,-0.4,0.67,0.56,23.0,24.0
4,2003,5.49,5.31,4.79,0.17,0.7,0.6,8.0,16.0
5,2004,4.91,4.48,3.84,0.43,1.07,0.6,0.6,14.0
6,2005,3.27,3.51,2.96,-0.24,0.31,0.7,8.0,32.0
7,2006,4.25,4.84,4.41,-0.59,-0.17,0.7,2.0,45.0
8,2007,2.65,3.36,1.65,-0.71,1.0,0.7,10.0,19.0
9,2008,-3.59,-2.47,-10.07,-1.12,6.48,0.7,11.0,11.0
10,2009,13.47,12.91,19.1,0.56,-5.62,0.7,11.0,83.0
11,2010,0.67,2.38,1.18,-1.7,-0.5,0.7,11.0,66.0
12,2011,11.33,10.7,10.2,0.63,1.13,0.7,14.0,21.0
13,2012,6.93,6.78,7.57,0.15,-0.64,0.7,6.0,63.0
14,2013,-5.42,-2.55,-5.66,-2.86,0.24,0.7,8.0,56.0
15,YTD,8.97,8.5,9.57,0.47,-0.6,0.7,8.0,57.0
