,Year,FHEAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2003,32.35,33.11,36.8,-0.76,-4.45,1.72,42.0,88.0
1,2004,33.45,14.72,32.02,18.73,1.43,1.52,1.52,39.0
2,2005,16.34,9.49,11.51,6.85,4.83,1.25,62.0,6.0
3,2006,35.92,20.07,33.58,15.86,2.34,1.24,65.0,32.0
4,2007,-17.98,9.04,-14.66,-27.01,-3.32,1.24,84.0,75.0
5,2008,-40.08,-40.71,-39.55,0.63,-0.53,1.22,86.0,69.0
6,2009,36.54,29.99,31.26,6.55,5.28,1.25,98.0,13.0
7,2010,28.98,11.76,27.08,17.22,1.9,1.22,60.0,24.0
8,2011,7.46,-5.54,7.51,13.0,-0.05,1.18,63.0,57.0
9,2012,18.11,15.83,17.6,2.28,0.51,1.18,48.0,22.0
10,2013,1.43,26.68,1.55,-25.24,-0.12,1.16,63.0,55.0
11,YTD,27.57,6.66,25.93,20.92,1.64,1.15,83.0,37.0
