,Year,GAEGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,26.03,21.04,38.87,4.99,-12.84,-12.84,53.0,70.0
1,2000,-1.6,-9.1,-13.05,7.51,11.45,1.28,54.0,22.0
2,2001,-18.96,-11.89,-22.3,-7.07,3.34,3.34,3.34,85.0
3,2002,-27.12,-22.1,-27.64,-5.02,0.53,1.34,43.0,92.0
4,2003,22.02,28.68,28.66,-6.67,-6.64,1.52,12.0,86.0
5,2004,7.21,10.88,7.81,-3.67,-0.59,1.35,1.35,54.0
6,2005,4.98,4.91,6.71,0.07,-1.74,1.16,113.0,62.0
7,2006,10.03,15.79,7.05,-5.77,2.97,1.06,171.0,23.0
8,2007,15.15,5.49,13.35,9.65,1.79,1.05,151.0,37.0
9,2008,-40.67,-37.0,-40.67,-3.67,-0.0,1.07,164.0,51.0
10,2009,33.57,26.46,35.68,7.11,-2.11,1.18,146.0,55.0
11,2010,17.12,15.06,15.53,2.05,1.59,1.15,122.0,33.0
12,2011,-3.12,2.11,-2.46,-5.24,-0.66,1.14,116.0,60.0
13,2012,20.08,16.0,15.34,4.08,4.74,1.21,80.0,9.0
14,2013,30.15,32.39,33.92,-2.24,-3.77,1.23,104.0,79.0
15,YTD,13.42,13.98,10.79,-0.56,2.63,1.19,88.0,21.0
