,Year,VEXMX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,36.22,21.04,20.92,15.18,15.3,0.25,26.0,19.0
1,2000,-15.51,-9.1,6.36,-6.41,-21.87,0.25,33.0,92.0
2,2001,-9.17,-11.89,-3.12,2.72,-6.05,0.25,20.0,70.0
3,2002,-18.06,-22.1,-16.55,4.04,-1.52,0.26,17.0,63.0
4,2003,43.43,28.68,36.28,14.74,7.14,0.26,0.26,17.0
5,2004,18.71,10.88,16.3,7.82,2.4,0.25,0.25,25.0
6,2005,10.29,4.91,9.25,5.37,1.03,0.25,27.0,43.0
7,2006,14.27,15.79,14.03,-1.52,0.24,0.25,16.0,41.0
8,2007,4.33,5.49,4.85,-1.17,-0.53,0.24,14.0,56.0
9,2008,-38.73,-37.0,-39.18,-1.73,0.46,0.25,13.0,52.0
10,2009,37.43,26.46,37.39,10.96,0.04,0.3,17.0,32.0
11,2010,27.37,15.06,22.52,12.3,4.85,0.26,10.0,11.0
12,2011,-3.73,2.11,-3.81,-5.84,0.08,0.24,14.0,55.0
13,2012,18.31,16.0,16.15,2.31,2.16,0.24,12.0,27.0
14,2013,38.19,32.39,34.1,5.8,4.09,0.24,11.0,20.0
15,YTD,6.43,13.98,7.43,-7.55,-1.0,-1.0,-1.0,67.0
