,Year,FOHFX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.83,-2.06,-3.47,-0.77,0.64,0.51,14.0,25.0
1,2000,11.68,11.68,10.11,-0.0,1.58,0.46,28.0,13.0
2,2001,4.73,5.13,4.09,-0.4,0.64,0.46,17.0,14.0
3,2002,9.68,9.6,8.06,0.07,1.62,0.49,19.0,8.0
4,2003,5.71,5.31,4.36,0.4,1.35,0.5,0.5,13.0
5,2004,4.44,4.48,3.2,-0.04,1.24,0.49,0.49,15.0
6,2005,2.9,3.51,2.12,-0.61,0.78,0.47,23.0,23.0
7,2006,4.49,4.84,3.69,-0.35,0.8,0.45,19.0,11.0
8,2007,3.56,3.36,2.26,0.2,1.3,0.45,22.0,13.0
9,2008,-1.62,-2.47,-4.43,0.86,2.82,0.47,11.0,37.0
10,2009,11.11,12.91,12.82,-1.8,-1.71,0.5,10.0,60.0
11,2010,1.95,2.38,1.17,-0.43,0.78,0.48,7.0,25.0
12,2011,9.63,10.7,9.24,-1.07,0.39,0.49,8.0,46.0
13,2012,7.13,6.78,6.79,0.35,0.34,0.49,14.0,35.0
14,2013,-3.16,-2.55,-3.98,-0.61,0.82,0.48,17.0,36.0
15,YTD,9.36,8.5,8.08,0.86,1.28,1.28,1.28,28.0
