,Year,VQNPX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,26.04,21.04,20.16,5.0,5.88,5.88,54.0,3.0
1,2000,-8.97,-9.1,-6.31,0.13,-2.67,0.38,65.0,97.0
2,2001,-11.13,-11.89,-13.5,0.76,2.37,0.45,41.0,82.0
3,2002,-21.92,-22.1,-22.25,0.18,0.33,0.45,70.0,38.0
4,2003,30.15,28.68,27.05,1.46,3.1,0.46,88.0,16.0
5,2004,11.11,10.88,10.02,0.23,1.09,0.42,0.42,31.0
6,2005,5.82,4.91,5.88,0.91,-0.06,0.37,84.0,47.0
7,2006,14.01,15.79,14.17,-1.79,-0.16,0.34,93.0,56.0
8,2007,2.62,5.49,6.16,-2.87,-3.54,0.32,100.0,81.0
9,2008,-37.72,-37.0,-37.79,-0.72,0.07,0.31,96.0,54.0
10,2009,22.42,26.46,28.17,-4.04,-5.75,0.35,83.0,81.0
11,2010,14.62,15.06,14.01,-0.45,0.61,0.32,94.0,36.0
12,2011,2.42,2.11,-1.27,0.3,3.69,0.32,120.0,15.0
13,2012,16.92,16.0,14.96,0.92,1.96,0.36,102.0,21.0
14,2013,32.59,32.39,31.5,0.2,1.09,0.36,109.0,39.0
15,YTD,14.39,13.98,11.28,0.41,3.11,0.37,133.0,13.0
