,Year,VSEAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,13.75,21.04,19.95,-7.29,-6.2,-6.2,92.0,92.0
1,2000,14.18,-9.1,11.89,23.29,2.29,1.44,75.0,10.0
2,2001,-6.23,-11.89,8.92,5.66,-15.14,1.38,47.0,41.0
3,2002,-17.3,-22.1,-16.22,4.8,-1.08,1.38,51.0,10.0
4,2003,36.37,28.68,43.41,7.68,-7.04,1.38,1.38,83.0
5,2004,26.13,10.88,18.94,15.24,7.18,1.38,1.38,3.0
6,2005,12.35,4.91,6.75,7.43,5.6,1.35,70.0,11.0
7,2006,18.35,15.79,15.03,2.56,3.33,1.28,21.0,14.0
8,2007,3.55,5.49,-1.1,-1.94,4.65,1.15,26.0,19.0
9,2008,-27.28,-37.0,-36.56,9.72,9.28,1.25,52.0,6.0
10,2009,31.76,26.46,31.8,5.29,-0.04,1.3,45.0,63.0
11,2010,26.0,15.06,25.61,10.93,0.39,1.29,44.0,58.0
12,2011,2.61,2.11,-4.07,0.5,6.68,1.29,39.0,9.0
13,2012,17.77,16.0,15.46,1.76,2.31,1.3,27.0,10.0
14,2013,35.77,32.39,37.39,3.38,-1.62,1.29,25.0,77.0
15,YTD,5.29,13.98,1.83,-8.69,3.46,1.29,30.0,13.0
